Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,BA,ITABUNA,PAN,26,JOSE DE SOUZA SANTOS,350,Não eleito,0.444,(sem coligação),
Prefeito,BA,ITABUNA,PPS,23,MARILENE DUARTE DOS SANTOS,406,Não eleito,0.515,(sem coligação),
Prefeito,BA,ITABUNA,PMDB,15,RENATO BORGES DA COSTA,"31,850",Não eleito,40.432,(sem coligação),
Prefeito,BA,ITABUNA,PRN,36,ROMILTON TELES SANTOS,516,Não eleito,0.655,(sem coligação),
Prefeito,BA,IBIRATAIA,PFL,25,ABNAEL ABDON FAIR,"4,176",Não eleito,43.967,(sem coligação),
Prefeito,BA,IBIRATAIA,PSDB,45,JOAO CARICCHIO DE SANTANA,208,Não eleito,2.19,(sem coligação),
Prefeito,BA,IBIRATAIA,PTB,14,JOSE ANTONIO DA COSTA,"5,114",Eleito,53.843,(sem coligação),
Prefeito,BA,ICHU,PT,13,ADAILTON CONCEICAO CARNEIRO,"1,041",Não eleito,26.482,(sem coligação),
Prefeito,BA,ICHU,PTB,14,ALCIDES DE OLIVEIRA,49,Não eleito,1.247,(sem coligação),
Prefeito,BA,ICHU,PFL,25,JOSE MARTINS CARNEIRO,"2,841",Eleito,72.272,(sem coligação),
Prefeito,BA,IBIPITANGA,PL,22,JORGE FRANCISCO PEREIRA,"3,202",Não eleito,48.856,(sem coligação),
Prefeito,BA,IBIPITANGA,PFL,25,JOSE XAVIER MENDES,"3,352",Eleito,51.144,(sem coligação),
Prefeito,BA,ITAGI,PTB,14,ADENILSON ROSA DOS SANTOS,"3,455",Eleito,60.689,(sem coligação),
Prefeito,BA,ITAGI,PFL,25,OLIVAL DE SOUZA ANDRADE,"1,988",Não eleito,34.92,(sem coligação),
Prefeito,BA,ITAGI,PPB,11,PERICLES FRANCISCO DANTAS RIBEIRO,250,Não eleito,4.391,(sem coligação),
Prefeito,BA,ITAGUACU DA BAHIA,PFL,25,LAUDILINO CASTRO LARANJEIRA,"2,259",Não eleito,44.009,(sem coligação),
Prefeito,BA,ITAGUACU DA BAHIA,PTB,14,NEY ALVES DE CARVALHO,"2,874",Eleito,55.991,(sem coligação),
Prefeito,BA,IRAJUBA,PFL,25,COSME ELIEZER SILVEIRA RIOS DA HORA,"2,000",Eleito,64.329,(sem coligação),
Prefeito,BA,IRAJUBA,PTB,14,DIOZINO HONORATO DOS SANTOS,"1,109",Não eleito,35.671,(sem coligação),
Prefeito,BA,ITABERABA,PL,22,AGEU LUCAS DE LIMA,79,Não eleito,0.34,(sem coligação),
Prefeito,BA,ITABERABA,PMDB,15,JOAO EVANDRO SILVA SANTANA,"4,188",Não eleito,18.025,(sem coligação),
Prefeito,BA,ITABERABA,PSDB,45,JOSENILDO MIGUEL DE BRITO,"9,700",Eleito,41.747,(sem coligação),
Prefeito,BA,ITABERABA,PT,13,MARIA DA CONCEICAO SANTOS,562,Não eleito,2.419,(sem coligação),
Prefeito,BA,ITABERABA,PSB,40,UBIRATAN AMORIM CALMON,173,Não eleito,0.745,(sem coligação),
Prefeito,BA,ITABERABA,PFL,25,WASHINGTON LUIZ DEUSDEDITH NEVES,"8,533",Não eleito,36.725,(sem coligação),
